Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD
535,387,507,507,515,505,491,509,F0
533,388,507,507,520,505,493,509,F0
532,387,507,505,515,505,491,509,F0
531,388,508,506,515,505,528,509,F0
534,389,511,505,516,505,493,510,F0
533,389,508,507,515,510,491,509,F0
533,390,507,506,515,505,490,510,F0
533,392,507,507,515,505,490,511,F0
533,390,507,506,515,505,490,509,F0
533,391,508,508,515,505,490,509,F0
531,390,507,506,515,525,491,508,F0
532,393,507,507,515,505,491,510,F0
532,390,506,507,515,505,490,509,F0
531,388,508,508,515,505,490,507,F0
533,389,507,505,515,504,490,510,F0
531,390,505,506,515,505,490,509,F0
530,388,507,507,515,481,490,507,F0
529,390,506,508,518,505,506,509,F0
533,387,506,506,514,505,491,509,F0
531,387,508,506,515,504,490,510,F0
532,386,507,506,518,505,492,509,F0
531,387,507,506,515,505,490,509,F0
532,387,507,507,516,505,481,508,F0
531,387,508,506,507,505,489,510,F0
531,388,508,505,516,505,491,509,F0
531,387,508,508,515,505,478,508,F0
534,388,506,507,514,505,489,509,F0
533,390,507,505,514,505,490,510,F0
531,388,508,506,521,505,478,509,F0
531,389,507,506,516,516,491,510,F0
534,389,508,509,515,505,490,509,F0
532,389,508,505,515,505,490,510,F0
534,391,508,506,514,507,490,509,F0
532,391,507,506,515,505,490,509,F0
532,391,508,508,515,505,490,509,F0
530,387,507,508,515,494,490,512,F0
534,391,506,506,515,507,490,509,F0
531,390,507,509,515,505,490,510,F0
532,389,508,507,515,503,490,510,F0
531,392,508,507,515,504,490,509,F0
533,388,508,506,515,505,489,510,F0
533,385,507,508,515,505,505,510,F0
533,387,507,506,513,505,490,509,F0
531,385,507,507,515,504,490,510,F0
533,386,508,506,520,505,494,509,F0
533,386,506,506,515,504,490,509,F0
531,387,507,508,515,505,531,509,F0
538,387,505,505,512,505,482,508,F0
532,391,508,506,515,505,490,510,F0
532,390,507,507,515,505,490,510,F0
533,390,506,506,515,506,490,510,F0
533,389,507,509,515,505,490,509,F0
533,390,508,507,515,534,490,505,F0
532,390,506,507,514,502,490,512,F0
532,390,507,508,515,505,489,509,F0
532,389,508,506,515,505,490,507,F0
532,388,508,507,515,504,490,510,F0
533,387,506,506,515,504,489,509,F0
532,388,508,507,515,494,490,510,F0
532,388,506,507,518,505,499,510,F0
533,386,507,507,514,504,490,508,F0
532,388,507,507,514,505,494,509,F0
533,386,507,505,516,505,490,508,F0
532,387,507,506,515,505,490,510,F0
531,388,498,506,509,505,484,510,F0
531,386,506,506,516,504,493,510,F0
530,388,507,505,515,505,490,509,F0
530,388,509,506,510,504,487,509,F0
532,390,508,506,514,505,489,509,F0
533,389,506,508,515,504,430,509,F0
536,389,509,507,516,514,491,510,F0
532,389,508,506,515,505,489,510,F0
530,391,509,506,515,505,489,509,F0
532,391,507,506,515,505,489,509,F0
533,391,507,506,515,505,489,510,F0
533,391,507,505,515,489,489,509,F0
530,393,508,507,515,511,489,510,F0
532,389,508,507,515,505,489,510,F0
531,390,507,506,515,502,489,509,F0
531,389,508,506,515,504,489,509,F0
533,389,509,507,515,504,489,499,F0
532,382,505,510,515,504,503,510,F0
531,387,504,507,513,504,490,509,F0
531,386,507,505,515,504,489,509,F0
532,386,507,507,520,505,493,510,F0
532,386,507,507,515,505,489,510,F0
532,388,507,505,515,504,525,509,F0
528,386,509,507,509,505,483,509,F0
532,387,506,507,516,505,490,510,F0
530,386,506,507,515,504,489,510,F0
529,389,507,507,514,505,489,509,F0
531,388,506,506,515,505,489,509,F0
534,390,507,506,502,505,485,509,F0
533,389,508,505,515,519,490,508,F0
531,389,507,505,514,505,489,509,F0
531,388,507,507,515,505,489,510,F0
532,390,508,504,515,505,489,509,F0
533,391,507,507,515,505,489,509,F0
533,389,507,488,514,494,489,510,F0
532,389,508,507,514,511,489,509,F0
531,389,506,507,515,505,489,511,F0
532,390,509,507,514,501,489,510,F0
532,389,507,507,515,504,488,510,F0
531,387,508,508,514,504,488,509,F0
531,387,509,504,515,501,488,509,F0
532,387,507,508,516,505,492,509,F0
532,387,507,506,514,504,489,511,F0
533,387,506,507,515,504,496,508,F0
533,385,507,506,516,505,489,510,F0
531,386,507,507,515,505,489,509,F0
532,387,513,507,508,504,485,509,F0
532,387,507,506,516,504,492,508,F0
529,390,508,506,515,504,489,509,F0
532,387,508,506,508,505,486,509,F0
533,387,508,507,515,504,489,510,F0
532,391,509,508,514,504,488,509,F0
530,391,509,506,516,505,490,509,F0
532,390,509,506,514,505,489,509,F0
533,390,507,506,515,504,488,509,F0
532,391,506,507,515,506,488,510,F0
532,390,507,507,514,505,488,510,F0
533,391,508,506,515,505,489,512,F0
532,389,505,507,514,498,489,511,F0
532,390,507,507,514,505,488,509,F0
531,389,508,507,515,505,488,507,F0
532,390,508,506,514,504,488,510,F0
533,391,507,508,514,504,488,509,F0
532,388,506,506,514,477,488,509,F0
531,387,508,506,517,505,504,509,F0
530,388,507,506,514,504,488,509,F0
531,386,508,508,515,504,488,508,F0
532,386,507,506,518,504,490,509,F0
533,387,507,505,515,504,488,510,F0
533,388,507,507,539,505,474,509,F0
532,388,509,507,509,504,490,509,F0
530,387,506,507,515,505,489,510,F0
530,389,506,507,515,505,476,510,F0
532,389,507,507,514,505,488,509,F0
534,389,507,507,514,505,488,510,F0
532,390,508,507,513,504,487,509,F0
533,389,509,505,515,515,488,510,F0
535,389,507,505,514,505,488,510,F0
531,389,508,508,514,505,488,509,F0
532,389,507,507,514,505,487,509,F0
531,389,507,508,514,505,488,509,F0
531,390,507,492,514,491,488,509,F0
532,391,507,508,515,511,488,508,F0
530,389,506,507,515,505,488,509,F0
532,389,509,505,514,501,488,509,F0
531,389,508,506,515,504,488,509,F0
531,387,507,505,514,505,488,510,F0
531,389,507,511,514,502,488,508,F0
533,386,508,505,514,505,490,510,F0
531,388,506,508,515,505,488,509,F0
533,385,508,506,517,504,495,509,F0
532,387,508,508,515,505,488,509,F0
533,387,507,507,515,504,488,509,F0
533,387,509,507,508,505,474,509,F0
531,388,509,509,517,505,490,509,F0
533,388,506,505,515,504,488,508,F0
533,386,508,505,510,504,486,510,F0
531,390,508,506,514,505,487,510,F0
533,390,507,507,515,504,469,510,F0
540,388,506,507,516,505,489,509,F0
533,390,508,506,514,506,488,509,F0
533,391,509,507,514,505,488,509,F0
532,391,506,509,515,506,488,509,F0
532,391,508,508,515,505,488,509,F0
532,390,508,506,515,504,487,503,F0
531,393,508,507,515,498,488,510,F0
532,389,507,506,515,506,488,509,F0
532,390,508,507,514,505,487,506,F0
531,391,507,508,515,504,487,510,F0
532,388,507,506,515,504,488,509,F0
531,387,506,506,514,489,487,510,F0
532,387,507,505,516,505,503,510,F0
531,387,509,506,514,504,488,510,F0
532,387,507,507,514,504,488,510,F0
532,386,508,505,518,505,489,509,F0
532,388,507,507,515,504,487,509,F0
533,388,508,505,534,505,476,508,F0
532,388,508,507,510,504,489,508,F0
529,389,507,506,515,504,487,509,F0
530,387,508,507,515,504,480,510,F0
533,387,508,506,514,504,487,510,F0
532,389,507,506,515,504,487,509,F0
532,390,499,505,514,504,489,509,F0
533,392,508,508,515,511,487,509,F0
532,390,509,506,514,505,487,510,F0
534,390,507,506,514,506,487,510,F0
532,388,506,508,514,505,487,511,F0
532,389,507,504,514,505,487,509,F0
531,395,508,509,514,497,487,511,F0
531,391,506,506,515,509,487,509,F0
532,389,508,507,515,505,487,510,F0
532,389,507,507,515,504,487,510,F0
530,389,509,506,515,504,487,509,F0
532,389,507,508,515,505,487,497,F0
532,386,508,509,515,504,503,510,F0
532,387,509,507,513,504,488,510,F0
533,385,507,507,514,504,487,509,F0
530,385,508,508,520,505,491,508,F0
531,387,509,506,515,505,487,510,F0
531,386,508,507,515,505,520,509,F0
532,386,506,506,508,504,482,510,F0
531,387,510,507,516,505,487,508,F0
531,388,506,508,515,505,487,510,F0
531,387,507,507,514,505,486,510,F0
534,389,507,506,515,504,487,510,F0
531,389,509,508,516,504,476,510,F0
532,389,509,506,516,516,488,510,F0
534,389,507,505,514,505,487,510,F0
532,391,506,507,515,505,487,510,F0
532,389,508,508,515,505,487,509,F0
531,392,507,506,515,505,487,510,F0
531,390,508,508,515,493,487,509,F0
532,390,507,508,514,510,487,509,F0
531,389,506,506,515,505,487,509,F0
532,388,509,508,514,499,487,509,F0
533,388,506,507,514,504,486,510,F0
531,389,507,506,514,504,487,510,F0
532,387,508,502,514,501,487,510,F0
532,387,506,507,516,504,490,510,F0
531,386,509,507,514,504,487,509,F0
533,386,506,507,514,504,494,509,F0
532,385,506,506,516,505,487,509,F0
532,386,507,507,515,504,486,509,F0
532,387,500,507,509,504,481,509,F0
